iter	Logloss
0	0.688072076
1	0.6847118421
2	0.6794067983
3	0.6740717941
4	0.6679043716
5	0.6631297851
6	0.6579282096
7	0.6531103756
8	0.6482386214
9	0.6450419051
10	0.6400554957
11	0.6351651824
12	0.630430243
13	0.6260696583
14	0.6213342902
15	0.6170068377
16	0.6126811853
17	0.608296255
18	0.6041402924
19	0.6001157011
20	0.5959779547
21	0.5916134695
22	0.5869301785
23	0.5827086374
24	0.5786026087
25	0.5753473432
26	0.5717680856
27	0.5681442947
28	0.5647192108
29	0.5610407283
30	0.5579119479
31	0.5548108562
32	0.5512509721
33	0.5486851381
34	0.5469780397
35	0.5441462913
36	0.5409100565
37	0.5378031356
38	0.5348010117
39	0.5318820396
40	0.5295507024
41	0.5268228509
42	0.5251626004
43	0.5223616268
44	0.5200398477
45	0.5173797607
46	0.5147013289
47	0.5123957945
48	0.5101578102
49	0.5085400356
50	0.5074315018
51	0.505618749
52	0.5036020172
53	0.5014092949
54	0.4999836268
55	0.49737776
56	0.4949606135
57	0.4930766674
58	0.4907650894
59	0.4888243086
60	0.4870465311
61	0.4855134085
62	0.48401779
63	0.4819030333
64	0.4808502197
65	0.4787765246
66	0.4777831174
67	0.4759985677
68	0.4740811466
69	0.4723843778
70	0.4707609455
71	0.4688831286
72	0.4672817273
73	0.4654865051
74	0.4641558186
75	0.4624980969
76	0.4609999925
77	0.4599654808
78	0.4586094631
79	0.4577701869
80	0.4570016325
81	0.45538913
82	0.4543183573
83	0.4528339686
84	0.4512579414
85	0.4500968162
86	0.4487397269
87	0.4476787267
88	0.446223484
89	0.4451219366
90	0.4439019621
91	0.442795057
92	0.4419842838
93	0.4404902083
94	0.439165694
95	0.4382879279
96	0.4370422363
97	0.4362253339
98	0.4351153427
99	0.4341197496
100	0.4332493986
101	0.4321965421
102	0.4311933196
103	0.4305164466
104	0.4297140743
105	0.4288963575
106	0.4277072435
107	0.4265388317
108	0.4256397633
109	0.4250223396
110	0.4240773233
111	0.4231011466
112	0.4226124367
113	0.4217731604
114	0.4208055132
115	0.4200087558
116	0.4192830632
117	0.4185773014
118	0.4180348428
119	0.4173524835
120	0.4163132142
121	0.4155801066
122	0.4145430661
123	0.4137282211
124	0.4129863696
125	0.4121278056
126	0.4114507611
127	0.4113055026
128	0.4106204429
129	0.409929597
130	0.4092408084
131	0.4086083401
132	0.4078017674
133	0.4070347561
134	0.4063753278
135	0.405776206
136	0.4052944398
137	0.4048352188
138	0.4042064795
139	0.4039731829
140	0.4031441506
141	0.4029818331
142	0.4025271984
143	0.4018441532
144	0.4010728129
145	0.4005523853
146	0.4003448915
147	0.3999821524
148	0.3993789159
149	0.398937011
150	0.3985909451
151	0.3980134257
152	0.3976227407
153	0.3969560687
154	0.3965656409
155	0.3961796707
156	0.3960219394
157	0.3955202853
158	0.3950231316
